"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2019","1,194.10","1,190.35","1,194.10","1,182.09","","0.56%"
"05/14/2019","1,187.41","1,174.23","1,187.42","1,168.02","","-0.42%"
"05/13/2019","1,192.45","1,191.35","1,198.04","1,188.18","","-0.48%"
"05/10/2019","1,198.20","1,199.78","1,209.86","1,190.81","","-0.14%"
"05/09/2019","1,199.82","1,208.78","1,210.11","1,197.04","","-1.31%"
"05/08/2019","1,215.74","1,221.81","1,222.48","1,211.16","","-1.71%"
"05/07/2019","1,236.85","1,250.32","1,250.64","1,233.08","","-1.15%"
"04/26/2019","1,251.21","1,245.17","1,252.05","1,239.10","","-0.11%"
"04/25/2019","1,252.54","1,247.63","1,254.48","1,245.87","","0.47%"
"04/24/2019","1,246.72","1,260.00","1,260.07","1,244.02","","-0.67%"
"04/23/2019","1,255.15","1,253.51","1,256.61","1,250.06","","0.27%"
"04/22/2019","1,251.76","1,247.50","1,253.07","1,244.01","","0.12%"
"04/19/2019","1,250.31","1,253.80","1,255.29","1,249.00","","0.09%"
"04/18/2019","1,249.21","1,260.94","1,261.83","1,246.93","","-0.87%"
"04/17/2019","1,260.11","1,258.48","1,263.06","1,256.16","","0.26%"
"04/16/2019","1,256.89","1,253.97","1,261.74","1,253.72","","-0.06%"
"04/15/2019","1,257.60","1,255.75","1,261.53","1,255.33","","1.32%"
"04/12/2019","1,241.26","1,246.31","1,246.31","1,237.48","","-0.09%"
"04/11/2019","1,242.33","1,239.63","1,244.33","1,237.49","","-0.06%"
"04/10/2019","1,243.12","1,238.49","1,243.61","1,237.62","","-0.70%"
"04/09/2019","1,251.90","1,249.53","1,252.12","1,245.62","","-0.05%"
"04/08/2019","1,252.50","1,259.18","1,259.18","1,249.70","","-0.34%"
"04/05/2019","1,256.78","1,252.50","1,257.89","1,252.50","","0.36%"
"04/04/2019","1,252.29","1,253.10","1,256.57","1,250.31","","-0.11%"
"04/03/2019","1,253.61","1,248.69","1,254.15","1,243.24","","0.60%"
"04/02/2019","1,246.16","1,262.02","1,262.02","1,245.88","","-0.24%"
"04/01/2019","1,249.22","1,247.02","1,255.94","1,246.60","","1.48%"
"03/29/2019","1,231.02","1,234.15","1,235.81","1,228.74","","0.57%"
"03/28/2019","1,224.10","1,233.19","1,233.65","1,219.53","","-1.62%"
"03/27/2019","1,244.20","1,242.54","1,244.66","1,235.55","","-0.53%"
"03/26/2019","1,250.85","1,231.90","1,251.57","1,231.22","","2.52%"
"03/25/2019","1,220.08","1,232.12","1,232.27","1,215.51","","-2.45%"
"03/22/2019","1,250.73","1,251.36","1,251.90","1,245.62","","0.14%"
"03/20/2019","1,248.95","1,245.36","1,249.20","1,243.82","","0.23%"
"03/19/2019","1,246.14","1,247.26","1,247.65","1,239.31","","-0.17%"
"03/18/2019","1,248.25","1,246.68","1,248.30","1,241.61","","0.61%"
"03/15/2019","1,240.66","1,234.81","1,243.86","1,234.25","","0.92%"
"03/14/2019","1,229.34","1,240.57","1,243.32","1,229.34","","-0.20%"
"03/13/2019","1,231.75","1,238.36","1,241.31","1,226.41","","-0.82%"
"03/12/2019","1,241.99","1,235.15","1,247.36","1,234.79","","1.51%"
"03/11/2019","1,223.49","1,217.61","1,224.86","1,215.30","","0.60%"
"03/08/2019","1,216.23","1,228.04","1,229.91","1,214.52","","-1.74%"
"03/07/2019","1,237.81","1,240.28","1,241.22","1,234.75","","-0.84%"
"03/06/2019","1,248.34","1,249.74","1,250.17","1,245.89","","-0.24%"
"03/05/2019","1,251.40","1,250.73","1,253.36","1,246.44","","-0.50%"
"03/04/2019","1,257.72","1,259.46","1,259.85","1,253.68","","0.72%"
"03/01/2019","1,248.67","1,246.13","1,250.94","1,244.68","","0.52%"
"02/28/2019","1,242.18","1,250.75","1,250.75","1,241.60","","-0.84%"
"02/27/2019","1,252.75","1,252.05","1,255.11","1,252.05","","0.20%"
"02/26/2019","1,250.28","1,254.12","1,256.01","1,246.51","","-0.22%"
"02/25/2019","1,252.99","1,252.33","1,255.08","1,250.22","","0.69%"
"02/22/2019","1,244.43","1,241.45","1,245.32","1,239.43","","-0.23%"
"02/21/2019","1,247.31","1,246.78","1,252.23","1,240.60","","-0.01%"
"02/20/2019","1,247.41","1,244.29","1,250.05","1,241.58","","0.46%"
"02/19/2019","1,241.71","1,236.09","1,242.26","1,235.87","","0.30%"
"02/18/2019","1,237.97","1,236.36","1,239.16","1,233.67","","1.53%"
"02/15/2019","1,219.36","1,221.80","1,222.48","1,213.44","","-0.81%"
"02/14/2019","1,229.36","1,229.08","1,234.50","1,227.00","","0.04%"
"02/13/2019","1,228.91","1,223.66","1,231.23","1,220.31","","1.08%"
"02/12/2019","1,215.81","1,196.66","1,218.20","1,194.81","","2.14%"
"02/08/2019","1,190.28","1,200.84","1,201.38","1,188.25","","-1.91%"
"02/07/2019","1,213.42","1,219.67","1,220.68","1,209.08","","-0.83%"
"02/06/2019","1,223.57","1,227.45","1,231.11","1,222.67","","-0.03%"
"02/05/2019","1,223.97","1,229.03","1,229.77","1,222.25","","0.04%"
"02/04/2019","1,223.46","1,216.21","1,225.35","1,216.21","","0.93%"
"02/01/2019","1,212.13","1,212.90","1,221.24","1,210.55","","-0.18%"
"01/31/2019","1,214.35","1,217.36","1,220.38","1,209.23","","1.05%"
"01/30/2019","1,201.72","1,207.04","1,207.76","1,199.72","","-0.30%"
"01/29/2019","1,205.35","1,198.77","1,206.91","1,193.49","","0.08%"
"01/28/2019","1,204.35","1,210.47","1,211.59","1,203.52","","-0.69%"
"01/25/2019","1,212.70","1,202.48","1,215.59","1,202.45","","0.91%"
"01/24/2019","1,201.75","1,192.63","1,201.89","1,190.58","","0.33%"
"01/23/2019","1,197.83","1,196.91","1,205.16","1,195.42","","-0.58%"
"01/22/2019","1,204.78","1,215.30","1,217.06","1,201.97","","-0.63%"
"01/21/2019","1,212.41","1,217.59","1,218.93","1,210.47","","0.56%"
"01/18/2019","1,205.66","1,197.50","1,209.49","1,197.27","","0.94%"
"01/17/2019","1,194.46","1,197.42","1,199.36","1,190.36","","0.32%"
"01/16/2019","1,190.63","1,194.06","1,194.26","1,183.62","","-0.28%"
"01/15/2019","1,193.94","1,178.52","1,195.74","1,175.99","","0.82%"
"01/11/2019","1,184.19","1,185.11","1,188.12","1,180.60","","0.57%"
"01/10/2019","1,177.48","1,178.15","1,182.29","1,171.99","","-0.86%"
"01/09/2019","1,187.67","1,185.57","1,190.84","1,184.12","","1.19%"
"01/08/2019","1,173.74","1,175.76","1,182.67","1,171.23","","0.39%"
"01/07/2019","1,169.18","1,158.91","1,176.29","1,157.75","","2.82%"
"01/04/2019","1,137.10","1,135.03","1,138.65","1,118.29","","-1.55%"
"12/28/2018","1,154.95","1,152.09","1,159.60","1,148.49","","-0.52%"
"12/27/2018","1,161.02","1,130.51","1,167.06","1,130.15","","4.75%"
"12/26/2018","1,108.33","1,104.23","1,118.68","1,090.28","","1.01%"
"12/25/2018","1,097.20","1,131.48","1,131.48","1,094.93","","-4.83%"
"12/21/2018","1,152.83","1,168.34","1,168.96","1,146.38","","-1.84%"
"12/20/2018","1,174.44","1,194.49","1,200.07","1,170.33","","-2.41%"
"12/19/2018","1,203.40","1,207.18","1,209.38","1,196.21","","-0.44%"
"12/18/2018","1,208.66","1,217.88","1,221.51","1,208.66","","-1.90%"
"12/17/2018","1,232.11","1,229.84","1,237.71","1,228.82","","0.24%"
"12/14/2018","1,229.22","1,242.27","1,246.80","1,227.65","","-1.49%"
"12/13/2018","1,247.85","1,247.66","1,253.43","1,242.94","","0.57%"
"12/12/2018","1,240.74","1,227.39","1,242.16","1,226.21","","2.01%"
"12/11/2018","1,216.35","1,228.49","1,228.49","1,213.51","","-0.82%"
"12/10/2018","1,226.37","1,230.56","1,232.70","1,223.14","","-1.83%"
"12/07/2018","1,249.29","1,249.62","1,252.73","1,239.48","","0.68%"
"12/06/2018","1,240.87","1,255.16","1,258.75","1,232.40","","-1.82%"
"12/05/2018","1,263.90","1,251.85","1,267.15","1,250.27","","-0.50%"
"12/04/2018","1,270.22","1,298.37","1,299.20","1,269.96","","-2.37%"
"12/03/2018","1,301.01","1,300.37","1,306.69","1,296.21","","1.32%"
"11/30/2018","1,284.04","1,278.87","1,286.34","1,278.81","","0.44%"
"11/29/2018","1,278.42","1,284.63","1,288.27","1,278.42","","0.31%"
"11/28/2018","1,274.53","1,271.57","1,275.45","1,265.66","","0.53%"
"11/27/2018","1,267.82","1,267.16","1,270.57","1,261.41","","0.72%"
"11/26/2018","1,258.80","1,255.57","1,261.54","1,251.44","","0.20%"
"11/22/2018","1,256.28","1,249.35","1,257.48","1,245.10","","0.81%"
"11/21/2018","1,246.14","1,235.94","1,248.45","1,232.73","","-0.60%"
